N,B_mT,S,phi
100,0.0,-0.08783529890127557,0.00502654824574367
100,5.0,0.14605476670940423,0.00502654824574367
100,10.0,0.2402360955320075,0.00502654824574367
100,15.0,0.5382427161229663,0.00502654824574367
100,20.0,0.736530038572367,0.00502654824574367
100,25.0,0.8412947801806149,0.00502654824574367
100,30.0,0.8981082525924231,0.00502654824574367
300,0.0,0.014959388684272313,0.015079644737231007
300,5.0,0.05336216942817314,0.015079644737231007
300,10.0,0.3843385918030878,0.015079644737231007
300,15.0,0.6631842517149535,0.015079644737231007
300,20.0,0.7998626567626154,0.015079644737231007
300,25.0,0.8655425933519092,0.015079644737231007
300,30.0,0.9031314129962936,0.015079644737231007
500,0.0,0.03757676016499402,0.025132741228718346
500,5.0,0.1058535712656259,0.025132741228718346
500,10.0,0.4376005998775861,0.025132741228718346
500,15.0,0.6810085344927774,0.025132741228718346
500,20.0,0.8058726233797053,0.025132741228718346
500,25.0,0.8671226733656878,0.025132741228718346
500,30.0,0.9011622553281192,0.025132741228718346
1000,0.0,-0.01605869999069761,0.05026548245743669
1000,5.0,0.09343253937227436,0.05026548245743669
1000,10.0,0.4117784516923792,0.05026548245743669
1000,15.0,0.6541070086661925,0.05026548245743669
1000,20.0,0.784840799608647,0.05026548245743669
1000,25.0,0.8542366080525898,0.05026548245743669
1000,30.0,0.8943515537576324,0.05026548245743669
2000,0.0,-5.436919069434687e-05,0.10053096491487339
2000,5.0,0.08190063487363386,0.10053096491487339
2000,10.0,0.44168687453863903,0.10053096491487339
2000,15.0,0.6606633897176384,0.10053096491487339
2000,20.0,0.7821150153928783,0.10053096491487339
2000,25.0,0.8499225829617152,0.10053096491487339
2000,30.0,0.8902497772115711,0.10053096491487339
